Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%)
"ZxiN1Lr7oRU","Non-Ferrous Metals (2/3): Copper Alloys","2021-07-06 11:44:42",209,0:02:55,83.58
"besVGB6cPDg","Non-Ferrous Metals (3/3): Titanium Alloys","2021-07-06 10:42:16",166,0:02:10,78.49
"aDpeyTDW3Io","The Big Picture (3/12): Tree Stages and Material Family Constraints","2021-07-06 09:40:33",335,0:03:36,64.51
"P6GzWeu9VGA","Ferrous Metals (8/8): Stainless Steels","2021-07-06 09:20:43",395,0:05:04,77.03
"fe7zKIxtmWc","Ferrous Metals (7/8): Alloy Steels","2021-07-06 08:13:12",170,0:02:11,77.1
"pEc0ApnP0f4","Ferrous Metals (5/8): Plain Carbon Steels","2021-07-06 05:03:37",344,0:04:07,71.83
"tGqy7OFc09w","Ferrous Metals (6/8): Cast Irons","2021-07-06 04:59:30",281,0:03:43,79.27
"iWELjCYB9Sk","Ferrous Metals (4/8): Heat Treatments","2021-07-05 05:13:10",515,0:05:44,66.78
"jVLn12stmwI","Ferrous Metals (3/8): Microstructures","2021-07-05 02:54:33",500,0:05:30,65.94
"pfsGQ35t_nI","Ferrous Metals (2/8): Crystal Structures/Equilibrium Phases of Iron and the Fe-C Phase Diagram","2021-06-29 10:55:13",609,0:06:39,65.54
"w3C3B6XM1Fk","Ferrous Metals (1/8): Introduction","2021-06-29 06:33:30",232,0:02:56,75.8
"xjrnZOSaGwA","Non Mechanical Properties of Metals","2021-06-29 05:46:40",353,0:04:11,71.2
"M8Y4lxajI3c","Mechanical Properties of Metals","2021-06-28 06:24:43",571,0:05:59,62.84
"bNdbjNVh1z0","Physics, Chemistry and Crystallography of Metals","2021-06-28 01:47:15",392,0:04:25,67.49
"j6SeaP91jZc","Introduction to Engineering Metals","2021-06-26 07:05:08",289,0:01:44,36.09
"eTOLcZtYQBw","The Big Picture (2/12): Constraints and Limits","2021-06-20 11:59:32",416,0:04:24,63.54
"rDpBVrfIqBc","Flammability Properties","2021-06-20 06:57:35",337,0:04:16,75.95
"bRnYqx51NLQ","Biocompatibility","2021-06-20 05:58:54",362,0:04:35,76.07
"CTzVe5LPgfI","Environmental Properties","2021-06-20 05:23:23",316,0:04:10,79.02
"qYQa8scJjQw","Corrosion","2021-06-20 04:12:14",338,0:04:13,74.71
"Xl8zNgXuDxI","Electrical Properties","2021-06-20 02:37:36",414,0:04:50,70.15
"qiIQsyIoZJg","Thermal Properties","2021-06-19 01:17:44",432,0:04:44,65.64
"Um9PPMuyds8","Introduction to Non-Mechanical Material Properties","2021-06-17 23:47:23",146,0:01:13,50.01
"GxmDYSewCws","The Big Picture (1/12): Intro to Material Selection and Material Indices","2021-06-16 03:49:52",359,0:04:01,67.27
"Upitsn2JRp0","Tensile Testing and Stress-Strain Curves","2021-06-16 01:56:07",352,0:04:17,73.11
"7svuQtCSJJs","Fatigue","2021-06-15 23:02:43",222,0:02:58,80.35
"M8kszjlUcZs","Toughness","2021-06-15 06:18:29",167,0:02:10,77.58
"7sNCYzYo_T8","Ductility","2021-06-15 00:37:05",122,0:01:36,78.87
"EQkdbTVKAA8","Hardness","2021-06-14 23:15:29",180,0:02:20,78.01
"cg81nqeBIjw","Strength","2021-06-14 08:50:02",240,0:02:55,72.88
"fAmHbxGDxeQ","Stiffness and Elastic Moduli","2021-06-14 07:18:08",248,0:03:04,74.33
"RrXK6zi0AN4","Introduction to Material and Mechanical Properties","2021-06-14 03:06:52",272,0:02:04,45.77
